news_0001_0001 备受瞩目的高考又快要到了，来自教育部的数据显示。
news_0042_0347 物业公司是不能随便涨物业费的，每次调整需要双过半的业主同意才行。
news_0042_0348 就是说这住宅面积占小区总面积过半，并且人口数占小区总人口过半。
news_0042_0349 这样才叫双过半只有双过半了之后才能够成行哈。
news_0043_0350 那另外呢，小区的公共区域停车位应该对访客来开放。
news_0043_0351 而且呢前两个小时应该是免收停车费的，谁还没个朋友到家里玩对吧。
news_0043_0352 另外呢小区里投放的广告，包括电梯里的显示屏，小区门口的告示栏等等。
news_0043_0353 这些广告收益都应该归业主所有。
news_0043_0354 可以呢用来补充专项维修资金，也可以抵扣业主的物业费。
news_0043_0355 不过这个办法也说了啊，说虽然说业主是上帝啊但也不能任性，不能看这物业不顺眼就拖着不交钱。
news_0043_0356 如果说这业主恶意拖欠物业服务费，也是要被纳入个人诚信记录的，这个，咱们可不能大意。
news_0043_0357 总之我们希望的是，合理交费，享受应有的服务，让一切都规范起来。
news_0044_0358 说时迟那是快呀二零一九年还剩下了不到一个星期，这也预示着，中小学生要期末考试了。
news_0044_0359 刘约翰老师呢是带小学科学课的。
news_0044_0360 他把众多的知识点呢写成了歌词，铺上背景音乐，做成了复习歌，然后发布在个人公开的公众号上。
news_0044_0361 不仅学生们喜欢的不得了，就连不少别的科学老师也在疯转。
news_0044_0362 为了帮助孩子们复习，刘约翰十二月份一共录制了三首歌曲。
news_0044_0363 这些复习歌这么受欢迎，那是有原因的。
news_0044_0364 因为，选择什么曲子进行改编，他要先在班上做一个调查啊，了解一下孩子们最近喜欢的歌曲。
news_0045_0365 前天陕西西安消防总队一名消防员因为急着出差，所以呢穿着消防制服打了辆车。
news_0045_0366 下车的时候想用软件来支付车费的时候，的哥关师傅却坚决不肯收费，一脚油门就跑了。
news_0045_0367 关师傅说消防员为了大家赴汤蹈火，自己能够这样回报，虽然说这样一点车费可能真的不算什么。
news_0045_0368 但是对于消防员群体的理解和尊重，却让人无比的暖心。
news_0046_0369 一名男子从三十楼准备乘电梯到一楼，但是电梯门开了电梯却没上来。
news_0046_0370 这男子呢一脚踩空之后幸好啊眼疾手快一把抓住了钢索，这才没有直接摔下电梯井。
news_0046_0371 广告回来接着来看新闻，俗话说远亲不如近邻哪。
news_0046_0372 接下来呢咱们要说的这条新闻通充分的体现出了这句话所体现出来的哲理。
news_0047_0373 十二月二十二号晚上安徽省芜湖市一个小区的居民家中发生了火灾，火势从二楼开始向上蔓延。
news_0047_0374 着火的房子里呢有一名女子，带着孩子透过窗户对外呼喊救命，房主汪先生说呢，这大火烧起的时候他不在家里。
news_0047_0375 妻子带着三岁的宝宝在卫生间里面洗澡就错过了最佳的逃生时间，这大火烧起来的时候啊坏了。
news_0047_0376 他们呢都被困住了，只能通过一扇窗户对外求助，形势非常的危急，这个时候有两个身影就向着火场逆行。
news_0047_0377 但是他们并不是消防员，而是一楼邻居的女儿和女婿，在两人的帮助之下汪先生的妻子和孩子安全的逃离了火场。
news_0048_0378 随后赶来的消防队员们也成功的将大火扑灭了，回想起妻儿逃生的经历呢，汪先生感动得直掉眼泪呀。
news_0048_0379 芜湖好邻居的英勇行为挽救了两条生命，虽然说汪先生家里财物损失较大。
news_0048_0380 但是呢他还是觉得心里暖暖的，因为确实没有什么比性命更加重要了。
news_0048_0381 消防部门再次提醒大家寒冬季节气候干燥，家中的用电用火用气量都会增加，是火灾事故的多发期。
news_0048_0382 注意呢不要超负荷用电，不要占用消防通道，家用电器设备和暖气设备一定要远离煤气管道。
news_0048_0383 电源插线板附近不要放置易燃的物品，还有呢就是外出之前务必要关好水电气阀门，消防安全，再怎么细致，都是不为过的呀。
news_0049_0384 前两天呢安徽合肥的申女士在短视频平台上发布了一则令人泪目的视频。
news_0049_0385 申女士的父亲去世已经有八年的时间了，而他亲手喂养长大的八哥鸟，今年已经十二岁了。
news_0049_0386 申女士的父亲在世呢非常喜爱这只八哥，给它取了名字叫格林，经常教它说话。
news_0049_0387 在申女士父亲的耐心教导之下这只八哥会说不少的话，而且，还会背唐诗，所以说非常招人喜爱。
news_0049_0388 可是呢，二零一一年，申女士的父亲去世了，这只八哥也渐渐的忘记了很多的东西。
news_0049_0389 但是有一天，它突然开口说了一句话，让申女士瞬间泪奔。
news_0049_0390 顿时呢也让申女士泪奔了，格林已经忘记了很多的东西但是却依然记得老人夸奖她的声音。
news_0049_0391 家人的爱它一直都记得，而爱，可能就是联结万物的纽带。
news_0050_0392 好接着来看短片，山东聊城的九零后美女武涤尘从小就喜欢出书法啊。
news_0050_0393 一年半以前呢，她把自己日常练习字的情形啊就搬上了直播间，这么长时间以来她写了超千幅的作品，吸粉百万。
news_0050_0394 说实话我都挺想跟他互粉的啊，倒不是因为别的主要是为了跟她学学写字啊。
news_0050_0395 内蒙古呼和浩特九十一岁的李凤林行医六十三年啊从医院退休之后呢他就开了一间中医儿科诊所，至今呢仍然是坚持坐诊。
news_0050_0396 现在李医生每天要看三十个病人，有家长五点就来排队。
news_0050_0397 他笑称自己高寿的秘诀就是，天天哄小孩。
news_0051_0398 近日呢江西抚州一名男子报案称，一名女子以帮她儿子介绍对象为由骗取钱财。
news_0051_0399 民警经过调查之后了解到，这名女子啊，她涉案并非这一起。
news_0051_0400 她曾经先后和十八个人谈婚论嫁其中和前三个人有过婚姻登记，其余的十五个人当中有四人曾经报案。
news_0051_0401 称，这名女子在拿到彩礼之后生活上一段时间，就不见了，因为涉嫌犯罪目前这名女子已被刑拘。
news_0051_0402 前几天河北枣强县一个十三岁的男孩在东关桥附近玩耍的时候不慎落水，过路村民听到呼救之后赶紧跳到水里。
news_0051_0403 和路过的外卖小哥一起，合力把孩子救了上来。
news_0052_0404 透过社会表情感知生活热度接下来就今天的社会透明度我是鹏飞。
news_0052_0405 俗话说得好，病从口入，现在呢不少人因为工作忙喜欢点外卖。
news_0052_0406 咱们的节目呢在前两天当中呢就曾经报道过。
news_0052_0407 在杭州打工的小兰，就是因为工作忙，连续吃了一个月的外卖，结果呢得了重症胰腺炎，抽出来的血都是黄色的油脂。
news_0052_0408 近日呢广州的小王也因为吃了一份外卖酸辣粉，结果呢引起了重症败血症，结果呢也住进了ICU。
news_0052_0409 幸好是这小王年轻救治的又比较及时这才捡回了一条命，所以你看，酸辣粉还能致命啊。
news_0053_0410 那这样的例子其实真的不太少，但是呢点外卖已经成为了一种非常普遍的现象。
news_0053_0411 怎么样才能让顾客吃的又营养然后又特别的心安呢。
news_0053_0412 近日辽宁沈阳开始试点外卖订餐平台，互联网加明厨亮灶政策。
news_0053_0413 就是在外卖商家制作食品的地方要安装上摄像头，通过网络接入外卖平台。
news_0053_0414 实现对于整个餐饮食品的原料处理，清洗消毒加工烹饪，直至餐桌食用的全方位全过程的实时监控。
news_0053_0415 消费者利用手机APP进行点餐的时候呢就可以看到厨房的实时的加工情况。
news_0054_0416 同时呢沈阳还将在沈河，和平等七个区开展食安封签试点工作。
news_0054_0417 保证呢这个外卖在整个的配送过程当中的密封性，杜绝食品在配送的过程当中受到人为或者意外因素的污染。
news_0054_0418 此外呢当地还开展了网络订餐平台线上清查行动，对于无证入网，证址不符，超范围经营等违法商户进行了清理。
news_0054_0419 通过落实平台主体责任，切实履行责任义务，建立食品安全相关制度。
news_0054_0420 现在呢点外卖的人越来越多，沈阳的这些举措我觉得，值得借鉴哪。
news_0054_0421 通过网络接入外卖平台，实现对于整个餐饮食品的原料处理，消毒清洗加工烹饪。
news_0054_0422 直至餐桌食用的全方位全过程的实时监控，消费者利用手机APP进行点餐的时候呢就可以看到厨房实时的加工情况。
news_0055_0423 同时呢沈阳还将在沈河，和平七个区开展食安封签试点工作，就是呢通过这样的举动来保证在配送的过程当中的密封性。
news_0055_0424 杜绝食品在配送的过程当中受到人为或者意外因素的污染。
news_0055_0425 此外呢当地还开展了网络订餐平台线上清查行动，对于无证入网，证址不符，超范围经营等违法商户呢进行清理。
news_0055_0426 通过落实平台主体责任，切实履行责任义务，建立食品安全相关制度。
news_0055_0427 现在呢，点外卖的人是越来越多了啊，沈阳的这些举措我觉得值得借鉴哪。
news_0056_0428 这两天呢有张照片在微信的朋友圈里刷了屏了，咱们呢一起来看一下说的就是这样一张照片。
news_0056_0429 一个穿着棉衣的小女孩站在一个教室的门口怯生生的往里边张望，那这个小女孩是谁她又在看什么呢。
news_0056_0430 这个照片的背后的故事让人非常的感动，十二月二十四号早上八点多。
news_0056_0431 郑州中学附属小学春藤路校区的校长毛恒例，例行巡视课堂，远远看见一年级六班的教室门口站着一个怯生生的小女孩。
news_0056_0432 掂着脚正在往教室里面张望，当时呢毛校长的第一反应是，这个孩子多半是因为犯了错误被罚站了。
news_0056_0433 这让毛校长心里有点生气啊，可是呢当他走进了这么一看他认出来了。
news_0056_0434 这个怯生生的小女孩是吴慧敏老师的小女儿四岁的小可乐，此时呢吴老师正在教室里上课呢。
news_0057_0435 原来啊小可乐生病了不能上幼儿园，结果家里呢又没人照看。
news_0057_0436 临近期末了，吴老师带着两个一年级的数学课，啊还要上着。
news_0057_0437 那吴老师就没办法呀他也不愿意耽误孩子们的课，只好把生病的女儿就带到了学校。
news_0057_0438 原本呢让她在办公室里边等着，但是这孩子呀她居然是自己摸到了教室门口。
news_0057_0439 毛校长非常的感动，于是就发了一条朋友圈，教室门外是自己家的孩子，教室门里是别人家的孩子。
news_0057_0440 那这条朋友圈发到网上之后立刻引起了网友的怒赞啊，不过呢当毛校长把点赞和评论给吴慧敏老师看的时候。
news_0058_0441 是啊老师为了学生真的是付出了很多很多，那让人感到无比感动的还有下面我们要说的这位老师。
news_0058_0442 山西省万荣县的物理老师王振，前几天他挂着吊瓶还坚持给同学们上课。
news_0058_0443 据了解呢王振是万荣县木村中学的校长，今年呢四十九岁。
news_0058_0444 他不仅是学校的校长，他还担任着三个班的政治老师以及物理老师，所以说经常啊这一天要上上九节课。
news_0058_0445 最近因为患了高血压眩晕等疾病他需要输液治疗，但是他又怕耽误学生的学业，所以他就决定要边输吊水边上课。
news_0059_0446 好接着来看新闻，说到这个菜单大家都见过，去饭店吃饭第一件事就是服务员把菜单拿过来点菜。
news_0059_0447 可是呢在成都市温江区的张志秀家有一本世界上独一无二的妈妈的菜单，而在这份菜单的背后是几十年如一日的孝心故事。
news_0059_0448 今年五十五岁的张志秀呢已经跟九十二岁的母亲共同居住了有三十年了。
news_0059_0449 从二零一七年老母亲生病之后他就放弃了外出打工，开始了全职照料母亲。
news_0059_0450 张志秀坚持每天的饭菜都不重样，并且呢由此还制定了妈妈专属的食谱菜单。
news_0060_0451 三餐，零食都安排的妥妥当当的，那对于九十二岁的老母亲来说呢每一天感受到的都是崭新的味道。
news_0060_0452 如今老母亲虽然年岁已大，晚年的生活却过得平静安乐，五世同堂其乐融融。
news_0060_0453 你养我小，我养你老，把妈妈照顾好就是我的幸福。
news_0060_0454 这话说的特别好，百善孝为先，而张之秀用行动诠释了这个孝字。
news_0060_0455 同样也给晚辈做出了榜样啊，接下来呢我们要说的这个故事同样也让人非常的感动。
news_0061_0456 前几天辽宁省朝阳市建平县铁西社区门口，有一名施施工的工人呢在沟下作业的时候突然遭遇了坍塌。
news_0061_0457 由于躲闪不及，工人被埋在了大约三米深的施工沟里面，被困者只有头部露了出来。
news_0061_0458 根本没办法动弹，而且呢坍塌随时有可能继续，情况是极其的危险。
news_0061_0459 接到群众报警之后建平县消防大队立即出动两辆消防车和十一名指战员赶赴现场展开施救。
news_0061_0460 保障被困人员能够呼吸畅通，同时呢组织队员在被困者的两侧采取阶梯式的下挖，清理坍塌的泥土。
news_0061_0461 在整个救援的过程当中呢仍然有小范围的塌方产生，消防员就用身体，挡在被困人员的上方。
news_0061_0462 阻止泥土继续埋压，这期间一个长约二十五厘米宽约十五厘米的石块突然落了下来。
news_0062_0463 而正在施救的消防官兵呢一个不自觉的转身，就用自己的身体挡住了石块。
news_0062_0464 保护了被困的工人，避免了二次伤害，而这位消防员呢却顾不上自己身上的痛继续用铁锹铲土继续施救。
news_0062_0465 这么大的石块砸下来啊这消防员呢虽然是铮铮铁骨但是也是血肉之躯呀，这看着这个视频着实让人心疼。
news_0062_0466 当挖到被困人员身边的时候为了防止工具伤到他们，那消防员只能是徒手清理，经过两个小时的奋力救援。
news_0062_0467 被困者被成功救出并且立即送往医院救治，目前被困人员生命体征平稳，生死之间消防员本能的转身是态度更是责任。
news_0062_0468 让我们感动的同时更让我们敬佩。
news_0063_0469 好继续来看短片，十二月二十五号下午咬文嚼字编辑部公布了二零一九年度十大语文差错。
news_0063_0470 其中呢足协致歉声明中的那个，差强人意位居榜首，这个成语啊经常被误用。
news_0063_0471 再说一遍，差强人意的是指大体上还让人满意，有点像，嗯还行吧。
news_0063_0472 那除此之外呢，许多明星的微博以及电视剧当中也出现了很多很多的知识差错等等。
news_0063_0473 据咬文嚼字的主编说，现在语文差错是太泛滥了，这样的情况真是令人堪忧哇。
news_0063_0474 现在很多人都这么说，动不动，这个令人堪忧动不动那个令人堪忧，我都跟着说秃噜嘴了。
news_0063_0475 堪忧本来就是令人担忧的意思，你在前面再加上一个令人那岂不是多此一举呢。
news_0063_0476 我们刚才主编也说了，一部分差错是由于知识欠缺，但是还有一大部分是使用者的态度的问题，这两点都需要引起大家的注意和重视啊。
news_0064_0477 近日呢陕西咸阳的一名外卖小哥背着两岁左右的孩子到饮食店取快餐的视频引起了网友们的关注。
news_0064_0478 大家都表示这名外卖小哥太不容易了，很多人呢还专门的跑去打听这个外卖小小哥他的身份啊。
news_0064_0479 想要帮他带孩子为他捐衣服为他捐奶粉，媒体后来联系上了这名外卖小哥。
news_0064_0480 他说呢妻子回老家了，所以自己便带着孩子一起工作。
news_0064_0481 外卖小哥的生活不易，但那么多人的关心也让人觉得这个寒冬非常的温暖。
news_0065_0482 十二月二十三号内蒙古呼和浩特有一名女子，她把几毛钱的标签贴在了几十上百元的商品条形码上。
news_0065_0483 然后，通过自助结账机就想蒙混过关，当他第三次推着购物车准备故伎重施的时候。
news_0065_0484 被超市安保人员当场抓获并报警，最后呢女子被处以了行政拘留十五天的处罚。
news_0065_0485 真是聪明反被聪明误啊，广告回来接着来看新闻。
news_0066_0486 近日呢一条三百天减重一百斤实现当兵梦的视频引起了很多网友的关注。
news_0066_0487 咱们呢来看一下这个图片上的主人公名叫林星竹。
news_0066_0488 林星竹说呢小时候当兵的姨夫送给她了一件海魂衫，从此呢他的心里就种下了当兵的种子。
news_0066_0489 可是自己是个大胖子有两百五十七斤之重，这个种子挺大啊，想要当兵的话这么大的种子是不行的必须要减肥。
news_0066_0490 说减肥就减肥，经过三百天的努力，林星竹成功的减重一百斤。
news_0066_0491 大四毕业后顺利的参军入伍实现了自己的愿望。
news_0067_0492 好继续来看短片在吉林省吉林市的雾凇岛由于气温下降，这里呢银装素裹宛如人间仙境。
news_0067_0493 引来了众多游客拍照留念，而大家最钟爱的就是表演泼水成冰。
news_0067_0494 一位大叔就发现了商机，现场售卖热水供游客泼水成冰，四十元一暖瓶供不应求。
news_0067_0495 不过呢这也是个辛苦活啊，每天天不亮就得起来烧水。
news_0068_0496 十二月二十四号在黑龙江哈尔滨五十六岁的梁大妈大雪之后就跟邻居就在门口堆雪人。
news_0068_0497 有北极熊企鹅海豚熊猫这简直就是一个动物园啊，环卫工人还专门立上了警示牌保护。
news_0068_0498 梁大妈说了，自己呀这是童心未泯，同时也希望为寒冷的冬天增加一道风景线。
news_0068_0499 对于带孩子的家长来说呢哄娃睡觉有的时候是个大难题，大人早就已经精疲力尽了。
news_0068_0500 尽管是依然精，但是娃啊他就根本不跟大人的套路一起来他依然是精力旺盛。
